brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
iams,20%,49/100g,0%,11%,17%,52%,3.5%,0.0%,2.0%,3.0%,83.0%,9.0%,"Fish Broth,Sea Bream,Tuna,Whitefish,Chicken,Carrots,Modified Tapioca Starch,Sunflower Oil,Dried Egg Product,Natural Flavors,Mackerel,Pea Protein,Sardines,Tricalcium Phosphate,Calcium Sulfate,Xanthan Gum,Potassium Chloride,Taurine,Spinach,Choline Chloride,Minerals (Iron Glycine Complex,Zinc Glycine Complex,Manganese Glycine Complex,Copper Glycine Complex,Sodium Selenite,Potassium Iodide),Titanium Dioxide,Vitamins (Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,Vitamin B12 Supplement,Pyridoxine Hydrochloride (Source of Vitamin B6),Calcium Pantothenate,Riboflavin Supplement (Source of Vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K3)),Guar Gum,Thiamine Mononitrate (Source of Vitamin B1),Iron Oxide,Magnesium Oxide,Sodium Nitrite (To Promote Color Retention)",[3],Purrfect Delicacies Featured Flaked Oceanfish & Tuna Recipe,[5],"fish broth,sea bream,tuna,whitefish,dried egg product,mackerel,sardines","sea bream,tuna,whitefish,chicken,mackerel,sardines","modified tapioca starch,guar gum"
iams,16%,86/100g,14%,23%,5%,43%,3.5%,3.0%,5.0%,1.0%,78.0%,9.5%,"Chicken,Chicken Broth,Chicken Liver,Dried Egg Product,Guar Gum,Added Color,Potassium Chloride,Sodium Tripolyphosphate,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,Calcium Carbonate,Choline Chloride,DL-Methionine,Salt,L-Carnitine,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Pyridoxine Hydrochloride (Vitamin B6),Potassium Iodide,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Optimal Metabolism Paté - Chicken,[4],"dried egg product,fish oil","chicken,chicken liver",guar gum
iams,16%,86/100g,14%,23%,5%,43%,3.5%,3.0%,5.0%,1.0%,78.0%,9.5%,"Turkey Broth,Chicken,Turkey,Chicken Liver,Dried Beet Pulp,Calcium Carbonate,Dried Egg Product,Guar Gum,Added Color,Potassium Chloride,Sodium Tripolyphosphate,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,Choline Chloride,DL-Methionine,Fructooligosaccharides,Salt,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Pyridoxine Hydrochloride (Vitamin B6),Potassium Iodide,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Indoor Paté - Turkey,[4],"dried egg product,fish oil","chicken,turkey,chicken liver",guar gum
iams,18%,85/100g,11%,23%,5%,43%,4.0%,2.5%,5.0%,1.0%,78.0%,9.5%,"Chicken Broth,Chicken,Salmon,Chicken Liver,Dried Egg Product,Dried Beet Pulp,Added Color,Calcium Carbonate,Guar Gum,Sodium Tripolyphosphate,Potassium Chloride,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,Choline Chloride,Fructooligosaccharides,Salt,DL-Methionine,Vitamin E Supplement,Thiamine Mononitrate (Vitamin B1),Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Pyridoxine Hydrochloride (Vitamin B6),Potassium Iodide,Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Indoor Paté - Salmon,[4],"salmon,dried egg product,fish oil","chicken,salmon,chicken liver",guar gum
iams,16%,86/100g,14%,23%,5%,43%,3.5%,3.0%,5.0%,1.0%,78.0%,9.5%,"Chicken,Chicken Broth,Chicken Liver,Dried Egg Product,Guar Gum,Added Color,Potassium Chloride,Fish Oil (Preserved with Mixed Tocopherols),Sodium Tripolyphosphate,Magnesium Sulfate,Taurine,Calcium Carbonate,DL-Methionine,Choline Chloride,Salt,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Iodide,Pyridoxine Hydrochloride (Vitamin B6),Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Healthy Kitten Paté - Chicken,[4],"dried egg product,fish oil","chicken,chicken liver",guar gum
iams,18%,85/100g,11%,23%,5%,43%,4.0%,2.5%,5.0%,1.0%,78.0%,9.5%,"Chicken Broth,Chicken,Tuna,Chicken Liver,Dried Egg Product,Added Color,Guar Gum,Calcium Carbonate,Potassium Chloride,Sodium Tripolyphosphate,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,DL-Methionine,Choline Chloride,Salt,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Iodide,Pyridoxine Hydrochloride (Vitamin B6),Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Healthy Adult Paté - Tuna,[4],"tuna,dried egg product,fish oil","chicken,tuna,chicken liver",guar gum
iams,18%,85/100g,11%,23%,5%,43%,4.0%,2.5%,5.0%,1.0%,78.0%,9.5%,"Chicken Broth,Chicken,Salmon,Chicken Liver,Dried Egg Product,Added Color,Calcium Carbonate,Guar Gum,Potassium Chloride,Sodium Tripolyphosphate,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,Choline Chloride,Salt,DL-Methionine,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Iodide,Pyridoxine Hydrochloride (Vitamin B6),Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Healthy Adult Paté - Salmon,[4],"salmon,dried egg product,fish oil","chicken,salmon,chicken liver",guar gum
iams,16%,86/100g,14%,23%,5%,43%,3.5%,3.0%,5.0%,1.0%,78.0%,9.5%,"Chicken,Chicken Broth,Chicken Liver,Dried Egg Product,Guar Gum,Added Color,Potassium Chloride,Sodium Tripolyphosphate,Fish Oil (Preserved with Mixed Tocopherols),Magnesium Sulfate,Taurine,Calcium Carbonate,DL-Methionine,Choline Chloride,Salt,Thiamine Mononitrate (Vitamin B1),Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Iodide,Pyridoxine Hydrochloride (Vitamin B6),Copper Sulfate,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Vitamin K)",[3],Perfect Portions Healthy Adult Paté - Chicken,[4],"dried egg product,fish oil","chicken,chicken liver",guar gum
instinct,0%,157/100g,24%,26%,6%,44%,0.0%,8.0%,9.0%,2.0%,66.0%,15.0%,"Rabbit (including Ground Rabbit Bone),Pork Liver,Pork Heart,Ground Pork Bone,Pork Fat,Yeast Culture,Rabbit Liver,Pumpkinseeds,Montmorillonite Clay,Apples,Broccoli,Butternut Squash,Rabbit Kidney,Rabbit Lung,Salt,Cod Liver Oil,Dried Kelp,Carrots,Spinach,Taurine,Mixed Tocopherols,Dried Chicory Root,Blueberries",[5],Raw Frozen Bites Farm-Raised Rabbit Recipe,[3],cod liver oil,"rabbit,pork liver,pork heart,rabbit liver,rabbit kidney,rabbit lung",
instinct,0%,390/100g,26%,19%,3%,52%,0.0%,23.0%,17.0%,3.0%,10.0%,47.0%,"Duck,Chicken,Chicken Eggs,Tapioca,Ground Flaxseed,Canola Oil (preserved with Mixed Tocopherols and Citric Acid),Natural Flavor,Dried Tomato Pomace,Dried Whey Protein Concentrate,Dicalcium Phosphate,Potassium Chloride,Salt,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Montmorillonite Clay,Choline Chloride,Taurine,Freeze Dried Duck (including Freeze Dried Ground Duck Bone),Pumpkinseeds,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[4],Ultimate Protein Grain-Free Cage-Free Duck Recipe,[4],chicken eggs,"duck,chicken",
instinct,0%,390/100g,26%,19%,3%,52%,0.0%,23.0%,17.0%,3.0%,10.0%,47.0%,"Chicken,Tapioca,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Ground Flaxseed,Natural Flavor,Dried Tomato Pomace,Dried Whey Protein Concentrate,Dicalcium Phosphate,Potassium Chloride,Salt,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Montmorillonite Clay,Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Taurine,Freeze Dried Chicken,Freeze Dried Chicken Liver,Pumpkinseeds,Freeze Dried Chicken Heart,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[4],Ultimate Protein Grain-Free Cage-Free Chicken Recipe,[4],,chicken,
instinct,0%,368/100g,37%,14%,5%,44%,0.0%,33.5%,13.0%,4.5%,9.0%,40.0%,"Rabbit,Salmon Meal,Turkey Meal,Peas,Menhaden Fish Meal,Chickpeas,Tapioca,Rabbit Meal,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Dried Tomato Pomace,Natural Flavor,Freeze Dried Rabbit (including Freeze Dried Ground Rabbit Bone),Fructooligosaccharides,Freeze Dried Pork Liver,Pumpkinseeds,Freeze Dried Pork Heart,Montmorillonite Clay,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Suncured Alfalfa Meal,Dried Chicory Root,Freeze Dried Pork Fat,Choline Chloride,Carrots,Apples,Cranberries,Freeze Dried Rabbit Liver,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),DL-Methionine,Taurine,Salt,Potassium Chloride,Freeze Dried Rabbit Lung,Freeze Dried Rabbit Kidney,Yucca Schidigera Extract,Dried Kelp,Salmon Oil,Blueberries,Dried Bacillus coagulans Fermentation Product,Rosemary Extract",[5],Raw Boost Grain-Free Recipe With Real Rabbit For Indoor Health,[3],"salmon meal,menhaden fish meal,salmon oil","rabbit,salmon meal,turkey meal,menhaden fish meal,rabbit meal",
instinct,0%,415/100g,26%,24%,4%,45%,0.0%,24.0%,22.0%,4.0%,9.0%,41.0%,"Duck,Turkey Meal,Chicken Meal,Menhaden Fish Meal,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Peas,Duck Meal,Tapioca,Dried Tomato Pomace,Natural Flavor,Freeze Dried Duck (including Freeze Dried Ground Duck Bone),Freeze Dried Turkey,Freeze Dried Turkey Liver,Suncured Alfalfa Meal,Pumpkinseeds,Montmorillonite Clay,Freeze Dried Turkey Heart,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Menadione Sodium Bisulfite Complex,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Salt,Carrots,Apples,Cranberries,Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Potassium Chloride,Taurine,DL-Methionine,Dried Kelp,Salmon Oil,Blueberries,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[5],Raw Boost Grain-Free Recipe With Real Duck,[3],"menhaden fish meal,salmon oil","duck,turkey meal,chicken meal,menhaden fish meal,duck meal",
instinct,0%,366/100g,39%,14%,5%,41%,0.0%,35.5%,13.0%,5.0%,9.0%,37.5%,"Chicken,Chicken Meal,Salmon Meal,Peas,Menhaden Fish Meal,Tapioca,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Suncured Alfalfa Meal,Freeze Dried Chicken,Dried Tomato Pomace,Natural Flavor,Freeze Dried Chicken Liver,Fructooligosaccharides,Pumpkinseeds,Dried Chicory Root,Montmorillonite Clay,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Menadione Sodium Bisulfite Complex,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Freeze Dried Chicken Heart,Salt,Carrots,Apples,Cranberries,Choline Chloride,Potassium Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),DL-Methionine,Yucca Schidigera Extract,Taurine,Dried Kelp,Salmon Oil,Blueberries,Dried Bacillus coagulans Fermentation Product,Rosemary Extract",[5],Raw Boost Grain-Free Recipe With Real Chicken For Indoor Health,[3],"salmon meal,menhaden fish meal,salmon oil","chicken,chicken meal,salmon meal,menhaden fish meal",
instinct,0%,359/100g,40%,13%,6%,41%,0.0%,36.0%,12.0%,5.5%,9.0%,37.5%,"Chicken,Chicken Meal,Chickpeas,Salmon Meal,Menhaden Fish Meal,Tapioca,Suncured Alfalfa Meal,Peas,Dried Tomato Pomace,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Freeze Dried Chicken,Montmorillonite Clay,Natural Flavor,Freeze Dried Chicken Liver,Pumpkinseeds,Freeze Dried Chicken Heart,Potassium Chloride,Salt,Vitamins (Vitamin E Supplement,Niacin Supplement,L-Ascorbyl-2-Polyphosphate,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Carrots,Apples,Cranberries,Choline Chloride,DL-Methionine,L-Carnitine,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Taurine,Dried Kelp,Salmon Oil,Blueberries,Dried Bacillus coagulans Fermentation Product,Rosemary Extract",[5],Raw Boost Grain-Free Recipe With Real Chicken For Healthy Weight,[3],"salmon meal,menhaden fish meal,salmon oil","chicken,chicken meal,salmon meal,menhaden fish meal",
instinct,0%,406/100g,27%,22%,4%,47%,0.0%,24.5%,20.0%,3.5%,9.0%,43.0%,"Chicken,Chicken Meal,Turkey Meal,Menhaden Fish Meal,Peas,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Tapioca,Freeze Dried Chicken,Natural Flavor,Dried Tomato Pomace,White Fish Meal (Pacific Whiting,Pacific Sole,Pacific Rockfish),Freeze Dried Chicken Liver,Pumpkinseeds,Salt,Freeze Dried Chicken Heart,Montmorillonite Clay,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Carrots,Apples,Cranberries,Choline Chloride,Potassium Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),DL-Methionine,Taurine,Dried Kelp,Salmon Oil,Blueberries,Dried Bacillus coagulans Fermentation Product,Rosemary Extract",[5],Raw Boost Grain-Free Recipe With Real Chicken,[3],"menhaden fish meal,white fish meal,salmon oil","chicken,chicken meal,turkey meal,menhaden fish meal,white fish meal",
instinct,0%,398/100g,30%,20%,3%,47%,0.0%,27.0%,18.0%,3.0%,9.0%,43.0%,"Salmon,Menhaden Fish Meal,White Fish Meal (Pacific Whiting,Pacific Sole,Pacific Rockfish),Herring Meal,Peas,Canola Oil (preserved with Mixed Tocopherols and Citric Acid),Salmon Meal,Tapioca,Natural Flavor,Suncured Alfalfa Meal,Montmorillonite Clay,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex,Riboflavin Supplement,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Carrots,Apples,Cranberries,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Choline Chloride,Taurine,Freeze Dried Cod,Potassium Chloride,Salt,DL-Methionine,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[4],Original Grain-Free Recipe With Real Salmon,[3],"salmon,menhaden fish meal,white fish meal,herring meal,salmon meal,freeze dried cod","salmon,menhaden fish meal,white fish meal,herring meal,salmon meal",
instinct,0%,421/100g,27%,25%,4%,44%,0.0%,24.5%,23.0%,3.5%,9.0%,40.0%,"Rabbit,Turkey Meal,Menhaden Fish Meal,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Peas,White Fish Meal (Pacific Whiting,Pacific Sole,Pacific Rockfish),Tapioca,Salmon Meal,Rabbit Meal,Dried Tomato Pomace,Natural Flavor,Montmorillonite Clay,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Carrots,Apples,Cranberries,Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Salt,Potassium Chloride,Freeze Dried Rabbit (including Freeze Dried Ground Rabbit Bone),DL-Methionine,Taurine,Pumpkinseeds,Dried Bacillus coagulans Fermentation Product,Freeze Dried Rabbit Liver,Freeze Dried Rabbit Lung,Freeze Dried Rabbit Kidney,Rosemary Extract.",[5],Original Grain-Free Recipe With Real Rabbit,[3],"menhaden fish meal,white fish meal,salmon meal","rabbit,turkey meal,menhaden fish meal,white fish meal,salmon meal,rabbit meal",
instinct,0%,414/100g,27%,24%,4%,45%,0.0%,25.0%,21.5%,3.5%,9.0%,41.0%,"Duck,Turkey Meal,Chicken Meal,Menhaden Fish Meal,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Peas,Duck Meal,Tapioca,Dried Tomato Pomace,Natural Flavor,Suncured Alfalfa Meal,Montmorillonite Clay,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Menadione Sodium Bisulfite Complex,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Salt,Carrots,Apples,Cranberries,Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Potassium Chloride,Taurine,Freeze Dried Duck (including Freeze Dried Ground Duck Bone),DL-Methionine,Pumpkinseeds,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[5],Original Grain-Free Recipe With Real Duck,[3],menhaden fish meal,"duck,turkey meal,chicken meal,menhaden fish meal,duck meal",
instinct,0%,411/100g,26%,23%,3%,48%,0.0%,24.0%,20.5%,3.0%,9.0%,43.5%,"Chicken,Turkey Meal,Salmon Meal,Menhaden Fish Meal,Chicken Eggs,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Tapioca,Peas,Chicken Meal,Dried Tomato Pomace,Natural Flavor,Lamb Meal,Montmorillonite Clay,Carrots,Apples,Cranberries,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium Bisulfite Complex,Riboflavin Supplement,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Taurine,Potassium Chloride,Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Salt,Freeze Dried Chicken,Freeze Dried Chicken Liver,Pumpkinseeds,Freeze Dried Chicken Heart,Dried Bacillus coagulans Fermentation Product,Rosemary Extract.",[5],Original Grain-Free Recipe With Real Chicken For Kittens,[3],"salmon meal,menhaden fish meal,chicken eggs,lamb meal","chicken,turkey meal,salmon meal,menhaden fish meal,chicken meal,lamb meal",
instinct,6%,386/100g,22%,21%,3%,47%,5.6%,19.9%,19.5%,3.0%,9.0%,43.0%,"Chicken,Chicken Meal,Turkey Meal,Menhaden Fish Meal,Peas,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Tapioca,Natural Flavor,Dried Tomato Pomace,White Fish Meal (Pacific Whiting,Pacific Sole,Pacific Rockfish),Salt,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Montmorillonite Clay,Carrots,Apples,Cranberries,Choline Chloride,Potassium Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Freeze Dried Chicken,DL-Methionine,Taurine,Freeze Dried Chicken Liver,Pumpkinseeds,Freeze Dried Chicken Heart,Dried Bacillus coagulans Fermentation Product,Rosemary Extract",[5],Original Grain-Free Recipe With Real Chicken,[3],"menhaden fish meal,white fish meal","chicken,chicken meal,turkey meal,menhaden fish meal,white fish meal",
instinct,0%,400/100g,37%,20%,3%,40%,0.0%,34.0%,18.0%,2.5%,9.0%,36.5%,"Turkey Meal,Peas,Tapioca,Canola Oil (preserved with Mixed Tocopherols and Citric Acid),Turkey,Natural Flavor,Montmorillonite Clay,Coconut Oil,Potassium Chloride,Salt,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),Choline Chloride,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Taurine,Freeze Dried Turkey,DL-Methionine,Freeze Dried Turkey Liver,Pumpkinseeds,Freeze Dried Turkey Heart,Rosemary Extract",[4],Limited Ingredient Diet Grain-Free Recipe With Real Turkey,[3],,"turkey meal,turkey",
instinct,0%,394/100g,35%,21%,6%,38%,0.0%,31.5%,19.0%,5.5%,9.0%,35.0%,"Rabbit Meal,Peas,Tapioca,Canola Oil (preserved with Mixed Tocopherols and Citric Acid),Rabbit,Natural Flavor,Coconut Oil,Montmorillonite Clay,Taurine,Choline Chloride,Potassium Chloride,Vitamins (Vitamin E Supplement,L-Ascorbyl-2-Polyphosphate,Niacin Supplement,Thiamine Mononitrate,d-Calcium Pantothenate,Vitamin A Supplement,Riboflavin Supplement,Menadione Sodium Bisulfite Complex,Pyridoxine Hydrochloride,Vitamin B12 Supplement,Folic Acid,Vitamin D3 Supplement,Biotin),DL-Methionine,Minerals (Zinc Proteinate,Iron Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Ethylenediamine Dihydriodide),Freeze Dried Rabbit,Salt,Pumpkinseeds,Rosemary Extract.",[4],Limited Ingredient Diet Grain-Free Recipe With Real Rabbit,[2],,"rabbit meal,rabbit",
instinct,0%,92/100g,7%,23%,14%,57%,0.0%,1.5%,5.0%,3.0%,78.0%,12.5%,"Rabbit,Pork Liver,Pork Broth,Ground Flaxseed,Montmorillonite Clay,Tricalcium Phosphate,Peas,Carrots,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,Menhaden Fish Oil (preserved with Mixed Tocopherols),L-Ascorbyl-2-Polyphosphate,Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Ultimate Protein Real Rabbit Recipe,[4],menhaden fish oil,"rabbit,pork liver",
instinct,0%,104/100g,2%,34%,14%,50%,0.0%,0.5%,7.5%,3.0%,78.0%,11.0%,"Chicken,Turkey,Chicken Liver,Chicken Broth,Ground Flaxseed,Montmorillonite Clay,Eggs,Peas,Carrots,Potassium Chloride,Salt,Minerals (Iron Proteinate,Zinc Proteinate,Copper Proteinate,Manganese Proteinate,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin E Supplement,Thiamine Mononitrate,Niacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Taurine,L-Ascorbyl-2-Polyphosphate,Menhaden Fish Oil (preserved with Mixed Tocopherols),Artichokes,Cranberries,Pumpkin,Tomato,Blueberries,Broccoli,Cabbage,Kale,Parsley",[4],Ultimate Protein Real Chicken Recipe,[5],"eggs,menhaden fish oil","chicken,turkey,chicken liver",
